,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
34,Network and Security Consultant,Networking,System Administration,Network Design,Telecommunications,Routing,TCP/IP,unckown,Network & Security Consultant,Network and Security Engineer,"Management and operation of the Greencom ISP IP Network infrastructure (Switching, routing, security, Internet access,...).
Network architecture design/Security.
Conduct of Survey sites and preparation of shopping lists (radio equipment, switches, routers, firewalls, VOIP, etc.).
Configuring network equipment and conducting installation work.
Development of architectural, engineering and operational documents.
Transfer of Skills and Client Training.
Resolution of incidents and problems.
Conduct of Network and Security audit missions.
Assistance to clients in the restructuring and upgrading of their infrastructure.
",unckown,unckown,unckown
35,Information System Security Engineer,Network security,Fortinet,ISO 27005,Ethical Hacking,Incident Management,Penetration Testing,"-Operation of technical platforms of information security
-Maintenance and evolution of technical platforms for information security
-Monitoring and response to alerts related to information security
-Monitoring compliance with standards and good security practices
-Operation and maintenance of infrastructures and security components: AV, IDS / IPS, proxies, WAF, etc.
-Tuning and monitoring of security alerts
- Technical audit:
-Vulnerability scans
-Intrusion tests
-Source audit code
-Vulnerability management and hardening of systems
-Management of information security incidents
-Implement controls, processes and tools to comply with information security policies and best practices
-Contribution in business projects, particularly on the security side
-Continued improvement of IS security
-Permanent technology watch","Information System Security Engineer at Orange Tunisia, ISO27005 Risk Manager Certified,ISO27001 Lead Implementer Certified, Certified Ethical Hacker V11",Cyber Security Instructor,unckown,unckown,unckown,unckown
36,Azure Engineer,Cloud Computing,Cloud Applications,Enterprise Mobility,Networking,Microsoft Azure,System administration,Skills: Microsoft Azure,Azure Engineer,Cloud Engineer,unckown,unckown,unckown,unckown
37,Assistant Manager,Web Application Security,SQL,Project Management,System Administration,Information Security,ISO 27001,"Cyber security compliance 
Cyber security assessment
ISMS implementation
Risk management
Technology Risk
Business continuity management
Audit","Technology Risk & Cyber Security Assistant manager at EY的 Certified ISO 20000, ISO 27005 RM, ISO 22301",Cyber Security Consultant,"Aircraft product security
Aircraft vulnerability management
Aircraft system risk management
Aircraft log analysis",unckown,unckown,unckown
38,Provider: Senior Cybersecurity Consultant ,Intrusion test,IT audit,Cybersecurity,unckown,unckown,unckown,"Validated missions of:
Audit /Pentesting / Cybersecurity Operation / Vulnerabilities Assessment/ SOC",Cyber Security Consultant /certified Lead Auditor ISO 27001/Risk Manager ISO 27005/ Security Operation Center Engineer,Senior Cybersecurity Auditor ,"WSIS, Risk Management, IT Security, IT Governance",unckown,unckown,unckown
39,IAM System Operations Engineer,Java,SQL,C (Programming Language),Internet Protocol Suite (TCP/IP),Web Development,Network Security,"- Ensuring the trouble-free operation of all systems and services in IAM
- Planning, integration, administration and maintenance of systems in Identity & Access Management.
- Administration and monitoring of the entire system landscape
- Development of technical specifications and operation cookbooks
- Reporting bugs and cooperation with the IAM development team
- Work as 2nd level support (fixing technical problems) of individual systems /cross-system components of the system landscape and Escalate to 3rd level support

Technologies:
+ IAM : One Identity Manager, Azure Active Directory, RBAC model, IGA, PAM
+ Monitoring: One Identity Manager tools ( Job Queue, Object Browser, Designer, Manager.. )
+ Scripting: PL/SQL
+ Project management: Heat, Jira","IAM System Operations Engineer at Security Accent GmbH, Cyber Security Enthusiast, CTF Player, CCNA",Systems Operations Analyst,"- Monitoring IT systems and performance.
- Responsible for users management and access to the servers.
- Upgrading backend/frontend software with new releases and patches.
- Participate to incident management in order to ensure product availability.
- Participate in windows server migration project (from 2008 to 2016).
- Apart from a global operational team that provides coverage around the clock.
- Serving as the first point of contact for customers seeing technical and operational
assistance.

Technologies:
+ Web servers: IIS (web application deployment)
+ Monitoring: TIDAL Workload Automation
+ Network: Experience with TCP/IP and troubleshooting network issues.
+ Database: InterSystems Hidden
+ Scripting: Python, Powershell, Batch
+ Project management: Jira, ServiceNow",unckown,unckown,unckown
40,Engineer Intern,Feeling Analysis,Natural Language Processing (NLP),Web Scraping,Machine Learning,Deep Learning,Network Administration,Portal of Books Rating : Implementing a web application that manage to analyze user reviews and classify the book according to its rating.,Data Science Engineering Student at ESPRIT and a Telecommunications Technician Graduate from ISET'Com Tunis,Network Security Internal,"End Of Studies' Project : Setting up a platform for system and network supervision that contains a security and information event management SIEM and a network monitoring solution like to be notified if an incident occurs.
Keywords : WebTrust, ISO 27001, Splunk, Zabbix, GNS3, iTop, Nessus, Rsyslog, CentOS 7, Ubuntu.",unckown,unckown,unckown
41,IT support engineer for the BINITNS project - CAFPI ,Angular,Framework Ionic,Fortinet,Technical Support,Network administration,Active Directory,"Join a computer to the domain
Troubleshooting PCs, Laptops
Installation of all software and operating systems
Mapping the scan doc from a network printer.
Troubleshoot problems in Microsoft Outlook
Installation and configuration of the VPN client
Administration of the Office 365 System and Active Directory
Diagnosis of desktop, application, networking and infrastructure issues.
 Troubleshoots Microsoft outlook check size, repair, and change and remove profile 
Troubleshoots and solves problems associated with network
First point of call for all IT issues
Release of internal applications (SharePoint)
use of the ticket system and problem solving (Matrix 42)
Knowledge DHCP (Dynamic Host Configuration Protocol) and DNS (Domain Name System).","IT Support Engineer, Network & Security Administrator, Cloud Computing",IT Support Specialist,"Installing operating systems windows 7, windows 8.1 and windows 10.
Installing applications like adobe, Microsoft office and other applications.
Troubleshoots windows crash.
Installing local printer and network printer.
Installing and troubleshoots computer hardware.
Troubleshoots in Microsoft outlook.
Join the computer to domain.
How to map a drive.
How to map a scan drive from network printer. 
How to make an image of computer (back up and restore).
Diagnosis of desktop, application, networking issues.
Troubleshooting PCs, laptops install all software and operating systems.
Installation, Repair, Removal, Checking, Inventory and Replacing parts of Software and operating systems.
Install Windows XP/Windows 7/windows 8.1/windows 10/ Office 2007, Office 2010, Office 2013 and Office 2016.
Troubleshoots printer.
use of the ticket system and problem solving (Jira Service Management)
Bouygues Telecom administration console management",unckown,unckown,unckown
42,Cyber Security Engineer,Linux,Network security,Network administration,TCP/IP,C++,Telecommunications,unckown,"Cyber Security Engineer, CISSP, ISO 27001 LI, ISO 27005 RM",Network Security Engineer,"- Conformity verification of technical and data flow request ( IP address, Protocol, Environnement, Security zone...) 
- Alerting and supporting requests in case of No-compliance with norms and standards
- Supporting business and technical project managers looking at the implementation of their project 
- Coordinating with BNP security teams, production teams ( Firewalls, Proxy, WAF) and technical architects to improve network flow matrix and set automating tasks
- Initiation of a continuous improvement process for validation and management of expectations",unckown,unckown,unckown
43,Cyber Security Consultant - SAP-GRC,Telecommunications,Network administration,Network security,Virtualization,Cloud Computing,Cisco Technologies,"- Administration of Kaspesky Antivirus
- Provide SSI awareness sessions
- Perform monthly and weekly backups by Cobian Cobit tool 
- Perform restorations by Veeam Backup
- Vulnerability management with Qualys
- Access management and user request resolution
- Participate in internal audits and certification 27001

* SAP-RCMP Administrator (Authority, Security, Risk Management and Compliance):
  - Prepare and inject the role catalogues ( Business Process, Approver, Master Role...)
  - Train approvers in the use of SAP-GRC Access Control
  - Create the approving and requesting accounts
  - Understanding of risks and patterns of fraud
  - Identification of SoD Matrix Risks: SoD Analysis and Risk Remediation",Cybersecurity Consultant ,Cyber Security Engineer,"Attack detection and threat intelligence system based on Big Data and Machine Learning for ISP networks:
 - Extraction of DNS logs
 - Analysis of logs by ELK (Elasticsearch, Logstash, Kibana)
 - Detection of malicious logs using two approaches by signature and behavior (Deep Learning Techniques)",unckown,unckown,unckown
